id ×,Nombre ×,Tamano ×,Sector ×,Ciudad ×
25,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-11 empleados,Construcción,Ecatepec
26,"Construcciones, Instalaciones, Mantenimiento y Aire acondicionado CIMA S.A. de C.V.",2-10 empleados,Construcción,Ecatepec
32,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
33,"Construcciones, Instalaciones, Mantenimiento y Aire acondicionado CIMA S.A. de C.V.",2-10 empleados,Construcción,Ecatepec
34,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
35,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
36,"Construcciones, Instalaciones, Mantenimiento y Aire acondicionado CIMA S.A. de C.V.",2-10 empleados,Construcción,Ecatepec
43,Andrade Gutierrez S.A.,+10.001 empleados,Construcción,Ecatepec
48,GFC INFRAESTRUCTURA S.A. DE C.V.,2-10 empleados,Construcción,Tapachula
49,"HOUSING BAHE, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
50,"DIA. DISEÑO INTEGRAL AMBIENTAL, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
51,"INGENIERÍA DE SUELOS Y PAVIMENTOS, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
52,"LC PROYECTO DISEÑO Y CONSTRUCCION, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
53,"LOPEZ ACOSTA INGENIEROS CIVILES, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
54,"SOTO HERMANOS CONSTRUCTORES DEL SOCONUSCO, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
55,"TOLCA, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
56,"CIMESTAC, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
57,"CONSTRUCTORA INPINE, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
58,"CONCRETOS SOCONUSCO, S.A. DE C.V.",11-50 empleados,Construcción,Tapachula
59,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
71,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
72,"Construcciones, Instalaciones, Mantenimiento y Aire acondicionado CIMA S.A. de C.V.",2-10 empleados,Construcción,Ecatepec
93,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
94,"Construcciones, Instalaciones, Mantenimiento y Aire acondicionado CIMA S.A. de C.V.",2-10 empleados,Construcción,Ecatepec
96,"MACROPISOS EN EL VALLE DE MEXICO, S.A. De C.V.",2-10 empleados,Construcción,Ecatepec
97,"Construcciones, Instalaciones, Mantenimiento y Aire acondicionado CIMA S.A. de C.V.",2-10 empleados,Construcción,Ecatepec